iter	Passed	Remaining
0	8	4019
1	17	4280
2	26	4385
3	35	4397
4	44	4390
5	52	4323
6	60	4295
7	69	4250
8	78	4286
9	87	4265
10	95	4244
11	103	4193
12	110	4154
13	118	4129
14	126	4087
15	134	4064
16	141	4031
17	149	4005
18	157	3995
19	165	3979
20	173	3960
21	181	3950
22	189	3936
23	197	3915
24	205	3904
25	230	4199
26	238	4174
27	246	4154
28	254	4129
29	262	4112
30	270	4087
31	278	4071
32	286	4059
33	296	4057
34	304	4048
35	312	4032
36	321	4022
37	330	4013
38	338	4005
39	347	3998
40	356	3989
41	364	3970
42	372	3954
43	380	3941
44	388	3927
45	396	3909
46	404	3897
47	412	3887
48	431	3976
49	440	3962
50	449	3954
51	457	3937
52	465	3925
53	494	4083
54	501	4060
55	509	4040
56	516	4017
57	524	3999
58	532	3980
59	539	3958
60	546	3936
61	554	3920
62	562	3899
63	569	3880
64	577	3862
65	584	3842
66	591	3822
67	598	3803
68	606	3785
69	613	3768
70	621	3754
71	629	3742
72	637	3726
73	644	3708
74	651	3692
75	660	3682
76	667	3668
77	675	3654
78	683	3641
79	690	3627
80	698	3614
81	706	3598
82	713	3586
83	721	3574
84	729	3561
85	737	3550
86	745	3539
87	753	3526
88	760	3512
89	769	3503
90	777	3494
91	784	3480
92	792	3467
93	799	3454
94	806	3439
95	814	3429
96	822	3415
97	829	3401
98	837	3390
99	844	3377
100	852	3367
101	859	3354
102	867	3342
103	875	3333
104	882	3321
105	890	3310
106	898	3300
107	906	3290
108	914	3280
109	921	3268
110	929	3257
111	937	3247
112	944	3235
113	952	3224
114	960	3215
115	968	3206
116	976	3195
117	983	3184
118	991	3175
119	999	3165
120	1019	3192
121	1026	3181
122	1033	3168
123	1041	3157
124	1048	3146
125	1056	3136
126	1063	3124
127	1070	3112
128	1078	3102
129	1085	3090
130	1093	3080
131	1101	3069
132	1108	3059
133	1115	3047
134	1126	3044
135	1137	3043
136	1147	3040
137	1157	3037
138	1167	3033
139	1176	3025
140	1184	3015
141	1192	3005
142	1199	2994
143	1207	2984
144	1214	2973
145	1221	2962
146	1228	2950
147	1235	2939
148	1243	2929
149	1250	2918
150	1258	2907
151	1265	2897
152	1272	2886
153	1279	2875
154	1287	2864
155	1294	2854
156	1302	2844
157	1309	2834
158	1316	2823
159	1323	2813
160	1331	2804
161	1339	2794
162	1346	2784
163	1354	2774
164	1361	2763
165	1369	2754
166	1376	2745
167	1384	2735
168	1391	2725
169	1398	2715
170	1406	2706
171	1414	2697
172	1422	2689
173	1430	2679
174	1437	2669
175	1445	2660
176	1452	2651
177	1460	2641
178	1465	2628
179	1472	2617
180	1480	2608
181	1487	2599
182	1495	2590
183	1503	2581
184	1511	2573
185	1518	2564
186	1526	2555
187	1534	2546
188	1542	2537
189	1549	2528
190	1558	2521
191	1567	2513
192	1575	2506
193	1584	2499
194	1592	2491
195	1600	2483
196	1613	2481
197	1622	2474
198	1630	2466
199	1640	2460
200	1648	2452
201	1662	2453
